,id,name,license_id,address_number,address_street_name,ssn,person_id,transcript
0,28508,Raylene Goldsby,531984,1696,S Holland St,817820356,28508,"‘I deny it!’ said the March Hare.
"
1,63713,Josh Cunnane,990581,3445,Evers Way,334859137,63713,"
"
2,86208,Samual Sojourner,902792,2703,S Carlinda Way,504537535,86208,"way, and the whole party swam to the shore.
"
3,35267,Johana Lugardo,648853,830,Dulles Toll St,163403073,35267,"lessons in here? Why, there’s hardly room for YOU, and no room at all
"
4,33856,Bernie Shelmon,928638,316,Marl Pat Rd,789619111,33856,"
"
5,82799,Elane Iino,702787,2827,Madoc Rd,675498661,82799,"
"
6,66493,Sheilah Gherardini,301996,250,Green Ledge Circle,659338977,66493,"would be offended again.
"
7,46263,Maxima Skafec,658812,893,Sandlewood Ave,242901077,46263,"‘So he did, so he did,’ said the Gryphon, sighing in his turn; and both
"
8,54263,Iona Gabardi,931215,1561,Murnane Dr,897118893,54263,"very glad that it was over at last: ‘and I do so like that curious song
"
9,62764,Herschel Tanious,826500,441,Red Rome Dr,575117227,62764,"come to the end: then stop.’
"
10,54206,Rashida Plotrowski,366695,1046,Sisco Way,240069906,54206,"
"
11,63126,Marie Soito,899992,616,Bent Tree Way,975221886,63126,"down on one knee. ‘I’m a poor man, your Majesty,’ he began.
"
12,34615,Margert Shouldice,611543,3374,Livermore Blvd,730077178,34615,"
"
13,10007,Kourtney Calderwood,861794,2791,Gustavus Blvd,477972044,10007,"CHAPTER IV. The Rabbit Sends in a Little Bill
"
14,96520,Phillis Biebel,880597,3443,Kelvington Blvd,513738984,96520,"         YOU.--Come,
"
15,33355,Jonah Prioleau,349659,2217,Mattakeesett Blvd,244121629,33355,"were nowhere to be found: all she could see, when she looked down, was
"
16,41899,George Siwiec,549106,1384,Hamilton Way,959478423,41899,"‘Anything you like,’ said the Footman, and began whistling.
"
17,84695,Chet Niebyl,175240,3900,Summit Wood St,469518562,84695,"and crept a little way out of the wood to listen.
"
18,36487,Raleigh Nunez,220978,646,Hanford St,406026993,36487,"
"
19,96956,Corey Terazes,694909,3822,Nelsine Blvd,121930822,96956,"
"
20,13759,Claudio Segreto,855099,745,Lahonda Way,129122621,13759,"‘You couldn’t have wanted it much,’ said Alice; ‘living at the bottom of
"
21,74158,Veola Canseco,892498,913,Doncaster Circle,346637993,74158,"   ‘I speak severely to my boy,
"
22,21408,Craig Rovinsky,568512,276,Belfairs Park Way,801890855,21408,"picking the daisies, when suddenly a White Rabbit with pink eyes ran
"
23,57234,Eldora Browder,921452,3909,Hunters Hall Blvd,733826107,57234,"‘Cheshire Puss,’ she began, rather timidly, as she did not at all know
"
24,61749,Colton Stroope,496028,1436,Gundibri Ave,773429313,61749,"snappishly. ‘You’re enough to try the patience of an oyster!’
"
25,98581,Manuel Mckennon,804068,2849,Floriston Circle,481797235,98581,"     ‘How doth the little crocodile
"
26,17543,Louisa Gies,388807,3303,Mitchie Way,241227699,17543,"know.’
"
27,22036,Marleen Renier,807860,833,Coneflower Dr,888601888,22036,"First came ten soldiers carrying clubs; these were all shaped like
"
28,18970,Harvey Dorado,150427,484,Boyes Rd,426152082,18970,"     ‘How doth the little crocodile
"
29,76489,Lynne Keliipio,161106,1732,Parrot Blvd,265650795,76489,"began picking them up again as quickly as she could, for the accident of
"
30,95548,Mikel Huddle,987309,3412,Blairmore Blvd,695334398,95548,"
"
31,56181,Beverley Matthees,207830,2790,Ellora Blvd,320927761,56181,"‘Not a bit,’ said the Caterpillar.
"
32,23260,Melynda Bascom,883924,1130,Gillpepper Circle,628558651,23260,"The Mock Turtle went on.
"
33,85594,Solomon Mcmillian,290457,3103,Carrington Field Circle,456055631,85594,"‘Then you should say what you mean,’ the March Hare went on.
"
34,69003,Alvin Shugars,973335,3043,West Island Dr,170604369,69003,"‘I’VE been to a day-school, too,’ said Alice; ‘you needn’t be so proud
"
35,78804,Sabina Havel,706734,1803,Franklin Corner Dr,386286209,78804,"for apples, yer honour!’
"
36,51605,Dominque Sturino,174303,1225,Osmundsen St,668007162,51605,"dear, certainly: but now run in to your tea; it’s getting late.’ So
"
37,54518,Berta Seargent,510825,2038,W Courtland Way,329962202,54518,"
"
38,73127,Dewayne Paray,134747,1338,Ring Bolt Circle,488932921,73127,"beheaded, and that you weren’t to talk nonsense.
"
39,17957,Emery Coonrad,217682,536,Russington St,573919330,17957,"
"
40,51790,Jenifer Karnopp,333681,3299,Remembrance Circle,999824984,51790,"their eyes and mouths so VERY wide, but she gained courage as she went
"
41,73646,Candida Wellner,131246,1920,Saint Kitts Ave,210392014,73646,"First it marked out a race-course, in a sort of circle, [‘the exact
"
42,90080,Roy Nush,107093,1437,Manzano Ave,343503974,90080,"CHAPTER III. A Caucus-Race and a Long Tale
"
43,33793,Amado Mattan,161915,99,Franklin Ave,125205748,33793,"wood--(she considered him to be a footman because he was in livery:
"
44,82421,Alda Genereux,668691,3103,New Solomoms Island Rd,947467506,82421,"can’t think! And oh, I wish you could see her after the birds! Why,
"
45,10914,Cinderella Coachman,189336,575,Yanilla St,516609775,10914,"As soon as the jury had a little recovered from the shock of being
"
46,34086,Vella Correra,526865,267,Stratton Rd,512299223,34086,"
"
47,34757,Roscoe Dibari,590311,2559,South Middletown Rd,900925649,34757,"real Mary Ann, and be turned out of the house before she had found the
"
48,11059,Devin Caddigan,739503,3727,San Ardo Circle,809549257,11059,"
"
